State	HIV Testing|Anonymous Testing Available: 	HIV Testing|Informed Consent Required: 	HIV Testing|Partner Notification Required: 	HIV Testing|Patient Written Documentation of Informed Consent Required: 	HIV Testing|Post-Test Counseling (Only for HIV Diagnosis): 	HIV Testing|Post-Test Counseling for All Who Test: 	HIV Testing|Pre-Test Counseling: 	HIV-Specific Criminal Laws|Blood, Tissue, Organ, and Semen Donation: 	HIV-Specific Criminal Laws|General Felony Laws Used Against PLWH: 	HIV-Specific Criminal Laws|General STI/Communicable Disease Laws that Include HIV: 	HIV-Specific Criminal Laws|General STI/Communicable Disease Laws: 	HIV-Specific Criminal Laws|HIV-Specific Felony Laws: 	HIV-Specific Criminal Laws|HIV-Specific Misdemeanor Laws: 	HIV-Specific Criminal Laws|HIV-specific Sentence Enhancement: 	HIV-Specific Criminal Laws|Needle-sharing: 	HIV-Specific Criminal Laws|STI/Communicable Disease Felony Laws: 	HIV-Specific Criminal Laws|STI/Communicable Disease Misdemeanor Laws: 	HIV-Specific Criminal Laws|Sex Offender Registration: 	HIV-Specific Criminal Laws|Sex Work/Solicitation: 	HIV-Specific Criminal Laws|Sex: 	HIV-Specific Criminal Laws|Spitting/Biting/Blood Exposure: 	Minors' Access to STI and HIV Testing and Treatment|Minor May Consent to HIV Testing and Treatment: 	Minors' Access to STI and HIV Testing and Treatment|Minor May Consent to HIV Testing: 	Minors' Access to STI and HIV Testing and Treatment|Minor May Consent to STI Testing and Treatment: 	Minors' Access to STI and HIV Testing and Treatment|Physician May Inform Parent of Minor's HIV Status: 	State Guidelines on Health Care Workers with HIV|Calls for Voluntary Testing of Health Care Workers with HIV: 	State Guidelines on Health Care Workers with HIV|Health Department Policies: 	State Guidelines on Health Care Workers with HIV|Patient Notification of HIV Status for Health Care Workers: 	State Guidelines on Health Care Workers with HIV|Practice Restrictions Based on HIV Status/"Exposure-Prone Procedures": 
Alabama	0	0	1	-1	1	-1	0	-1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	1	1	1	1	1	1
Alaska	0	0	0	-1	1	-1	0	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	1
Arizona	1	1	1	-1	-1	0	0	-1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	1	1	1	1
Arkansas	0	0	1	-1	-1	0	0	-1	-1	-1	-1	1	1	-1	1	-1	-1	1	-1	1	1	-1	-1	1	1	1	1	1	1
California	1	0	1	-1	1	-1	0	1	1	-1	1	1	-1	1	-1	-1	1	-1	1	1	-1	1	-1	1	-1	1	1	1	1
Colorado	1	1	0	-1	-1	1	1	-1	1	-1	-1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	1	1	1	1	1
Connecticut	1	0	0	-1	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	1	1	1	1
Delaware	0	0	1	-1	-1	0	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	1	1	1	1	1
District Columbia	1	0	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	1
Florida	1	1	0	-1	-1	1	-1	1	1	1	-1	1	-1	1	-1	1	-1	-1	1	1	-1	1	-1	1	-1	1	-1	1	1
Georgia	1	1	1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	1	1	-1	1	1
Hawaii	1	0	0	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1
Idaho	0	0	0	-1	-1	-1	-1	1	-1	1	-1	1	-1	-1	1	-1	1	-1	-1	1	1	1	-1	1	-1	1	1	1	1
